Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000175066	1.8853414789345642	-0.7530430589720254	0.32114669402268536	0.07038584087628953	0.1442411643921619	FALSE
ENSG00000172009	1.310990438626734	-0.75489352645689	0.2616882163772185	0.4004399492388519	NA	NA
ENSG00000135249	1.1747541651787587	-0.7560974979801336	0.27380486089676415	0.89915500496522	NA	NA
ENSG00000099331	3.5900648849728567	-0.7563675459723181	0.4172830763459281	0.5106630233067846	0.6063266039488727	FALSE
ENSG00000174886	1.1598168422219324	-0.7563921194773024	0.2734100248847194	0.9967053723420388	NA	NA
ENSG00000134779	1.4052559614505171	-0.756883504021476	0.28462171798818825	0.3093081067853713	0.40637820412758885	FALSE
ENSG00000258982	1.6190326165733957	-0.7580759135599024	0.33552668172804234	0.006737954598948667	0.028825951463051912	TRUE
ENSG00000159346	1.2100697839668726	-0.7594855217015583	0.27198110281636645	0.9989106259293347	NA	NA
ENSG00000204923	1.824004840260127	-0.7599767266665615	0.3595433186433051	0.5755799350559698	0.6661687285832463	FALSE
ENSG00000115355	1.3633280478330714	-0.7626436806797385	0.25567333895011823	0.16780093557441647	NA	NA
ENSG00000140450	1.9549202196765376	-0.7629796933725742	0.3744936284033872	0.011110223380962736	0.040804921311712455	TRUE
ENSG00000056586	2.9721969594577375	-0.7631574709684331	0.39746702045532484	0.014518648678620487	0.048771044641221936	TRUE
ENSG00000242216	1.236318131657632	-0.763230978146814	0.2658992952470323	0.6998521778027762	NA	NA
ENSG00000115806	3.34384450370781	-0.7642855024602512	0.41729736744806056	0.26746665298537853	0.3613553654715587	FALSE
ENSG00000207252	2.261299594532402	-0.7643345825745208	0.37098474288236066	0.01047084834769581	0.03946776679710476	TRUE
ENSG00000267520	1.5420737803932083	-0.7644999760686854	0.34066349742514856	0.006477687357832965	0.02792588215147907	TRUE
ENSG00000231252	1.3137961231767123	-0.7645647416120063	0.2876137281516999	0.6356041057071786	NA	NA
ENSG00000239521	1.1560275621737457	-0.7647005870209246	0.27839068385643173	0.8561341254108936	NA	NA
ENSG00000140694	2.5148917007625653	-0.7656222741677237	0.39719671602622214	0.013398734717163309	0.04615363993221389	TRUE
ENSG00000129518	1.3132982079418412	-0.7672699848508999	0.287633518412393	0.6361084838937074	NA	NA
ENSG00000149823	2.186521092413103	-0.7678213219292003	0.3648573345585586	0.009570201069840406	0.03717416678284909	TRUE
ENSG00000116205	2.0492246316240785	-0.7687676563987961	0.340441721944664	0.3708660208932166	0.46877375729398446	FALSE
ENSG00000149577	1.8742346100502312	-0.7695008661236274	0.3687889798661462	0.00971228982181109	0.03746615063094605	TRUE
ENSG00000260898	1.3754528243998845	-0.7697648679181233	0.28169560698536456	0.3013870759660688	NA	NA
ENSG00000278895	1.6155414410378712	-0.7698643231306048	0.33638415726598964	0.006057767437132563	0.02652881700788706	TRUE
ENSG00000274986	1.266222129040533	-0.7702747736059986	0.2774010445623678	0.9843126674377696	NA	NA
ENSG00000178502	2.4228991934088855	-0.7708370470775738	0.38544835608106337	0.011422230667453024	0.04134650566606487	TRUE
ENSG00000223891	2.433905820833626	-0.772786869058466	0.3878288741409657	0.011634481675793543	0.04186220099113718	TRUE
ENSG00000066322	1.6537820852432878	-0.7731338773691123	0.31700358577638155	0.37478011712764575	0.47272505611864957	FALSE
ENSG00000129990	1.4231171949250818	-0.7735443127672901	0.29141806228552014	0.1785203775191044	0.2691104165150671	FALSE
ENSG00000240038	1.3960444896794506	-0.7793744016814745	0.26361386462770675	0.13937618832601703	0.23122900623506343	FALSE
ENSG00000204713	3.634995492002902	-0.7797758893513966	0.4240813926705452	0.015609486821570373	0.05083472453327012	FALSE
ENSG00000136448	1.6715659943436318	-0.7810760244076732	0.3406807780896913	0.0059993306578638465	0.02635061656105679	TRUE
ENSG00000128408	1.2820139519131677	-0.7821801057855041	0.2745045891150394	0.717791253512895	NA	NA
ENSG00000103642	1.5558632932907053	-0.7823078105056118	0.34285307760008304	0.005668663724033035	0.025425256220374327	TRUE
ENSG00000115904	1.9272122998798344	-0.7827219247908491	0.3604329399082438	0.008032066713066915	0.0326492237445963	TRUE
ENSG00000273727	1.6160960777958182	-0.7827957586730305	0.33842770355161517	0.005481175604554314	0.0248412912720168	TRUE
ENSG00000145012	1.9070900354072648	-0.78302707519502	0.35291433785582543	0.5251050079450097	0.6191844786186733	FALSE
ENSG00000229619	1.5609326587036374	-0.7838095567345265	0.3435875749185854	0.0056437765838640965	0.02537282427799287	TRUE
ENSG00000177034	1.6533038724884843	-0.7849522901353393	0.3402025735575495	0.005657995781841894	0.02539596396360675	TRUE
ENSG00000176542	1.7315238851725037	-0.7887211528376836	0.32707089598708344	0.7297421144170433	0.7979654006346784	FALSE
ENSG00000252759	1.168909366884981	-0.7922964445834326	0.2809834246867365	0.6946265001154237	NA	NA
ENSG00000264295	1.168909366884981	-0.7922964445834326	0.2809834246867365	0.6946265001154237	NA	NA
ENSG00000283517	2.682826586597606	-0.7927177006776086	0.40707844524210063	0.25044761026701645	0.3426619470548068	FALSE
ENSG00000103510	2.4812204050727993	-0.793106074254702	0.38045997247235525	4.887412013789939e-6	1.5145566823545354e-4	TRUE
ENSG00000171291	1.1991249880261954	-0.7952028995175654	0.26616741997783194	0.775366482728035	NA	NA
ENSG00000135766	1.5913272551407942	-0.7969439495595536	0.28969414249395575	0.033344116360002424	0.08484785210092516	FALSE
ENSG00000088727	2.351548865599193	-0.7976006797491518	0.3985003024718739	0.010573202967666041	0.03970393098710933	TRUE
ENSG00000148429	1.166961100787055	-0.7978077983619289	0.2837108067537549	0.6284965464795972	NA	NA
ENSG00000170961	1.3616161722970683	-0.797857114413763	0.2962513488149523	0.33010236339795007	NA	NA
ENSG00000197872	1.166961100787055	-0.7978649086746099	0.28371206733974597	0.6284965464795972	NA	NA
ENSG00000158435	1.2394586058792376	-0.7988171732791212	0.2803926453843774	0.8375656967197597	NA	NA
ENSG00000274265	1.6778961468765414	-0.801142495749889	0.34231210757720976	0.49373055269956645	0.5903116716359567	FALSE
ENSG00000261408	2.0125338062692553	-0.8020007865092615	0.3826329514261944	0.00850859259403605	0.03415638652233018	TRUE
ENSG00000163348	1.7703643509159477	-0.8024071670312184	0.2929579448489404	0.005219778247061818	0.02408779200950192	TRUE
ENSG00000146090	2.2498021298052895	-0.8075825583778454	0.3702028905413264	0.007301928314931849	0.0307530561628875	TRUE
ENSG00000270249	1.1560275621737457	-0.8102725080831695	0.2775251672193325	0.8561341254108936	NA	NA
ENSG00000201555	3.3242966415717103	-0.8105925020219935	0.3982947734178021	4.490160800313969e-8	4.895141384248849e-6	TRUE
ENSG00000207607	16.78997571695047	-0.8110126555140013	0.4576197713266486	0.015956727443690474	0.05138213077918428	FALSE
ENSG00000113368	1.726471073802757	-0.8118576722690494	0.3173305099995114	0.7027041042796855	0.7762837500316758	FALSE
ENSG00000270823	2.4601796059359193	-0.8135661095829049	0.3802574638338767	8.029764566005434e-6	2.1475784339271856e-4	TRUE
ENSG00000265206	43.55266157261239	-0.8148751255135286	0.5479218574910552	0.024456304375824803	0.0680878522247593	FALSE
ENSG00000251896	1.168909366884981	-0.815263218018505	0.2805242252595641	0.6946265001154237	NA	NA
ENSG00000239195	2.3177179026135812	-0.8154753437844452	0.3776569148146233	0.007421083210325964	0.031114456715086093	TRUE
ENSG00000114439	1.8951194462027219	-0.8163240518540568	0.3448372485428124	5.163065924345915e-4	0.004489136200030666	TRUE
ENSG00000148841	1.9425062757391693	-0.8164714975711894	0.3646852010203741	0.006285269160770592	0.02722211986186252	TRUE
ENSG00000221442	1.5882653260239263	-0.8170991648874298	0.34883804266307755	0.0044974725656977506	0.02154579270207057	TRUE
ENSG00000232504	1.5879775721546507	-0.8172406434702009	0.3486773949849522	0.004479571132480591	0.02150466668461096	TRUE
ENSG00000126561	3.5624200741621146	-0.8176908648014377	0.41956332500520777	0.011505847600314123	0.04151433960953655	TRUE
ENSG00000240401	1.589884179298363	-0.8178498180726378	0.34897891340103293	0.004472817183899705	0.021501270011671278	TRUE
ENSG00000141337	1.3078310902674757	-0.8188933496135562	0.29260964278991425	0.28198918440679993	NA	NA
ENSG00000185627	1.618578508191446	-0.819814871409734	0.3042222356941923	0.043760078487782614	0.10228141918741954	FALSE
ENSG00000178385	2.307974701266126	-0.822888492573306	0.3882366513149771	0.007754039977282957	0.03204647033918419	TRUE
ENSG00000166432	1.7998844571274821	-0.8230835426131456	0.29979629778218586	0.004606775348814675	0.021919376418892713	TRUE
ENSG00000201291	2.051142074696232	-0.8237834912687187	0.386732129745734	0.007437917991467952	0.031169478688796336	TRUE
ENSG00000136059	1.2992863741648877	-0.8255882853226474	0.2853526029837241	0.7190096082709441	NA	NA
ENSG00000261839	1.9070325408527633	-0.8274563527694054	0.37654938637291924	0.006342674258736614	0.02742831020848099	TRUE
